Article_ID;Title;Url;Date;Author;Publisher;Country;Language;Tag;Category;Entities_Country;CQS
1;Palestinian Leader Calls on ICC to Speed Up Israeli War Crimes Trial;https://sputnikglobe.com/20231203/palestinian-leader-calls-on-icc-to-speed-up-israeli-war-crimes-trial--reports-1115353279.html;3/12/2023;John Macdougall;Sputnik;Russia;English;Report;Unrest Conflict War;Israel, Palestine;0.8
2;Israel Shells Lebanon in Retaliatory Move;https://sputnikglobe.com/20231204/israel-shells-lebanon-in-retalitory-move--statement--1115368224.html;4/12/2023;Menahem Kahana;Sputnik;Russia;English;Opinion;Unrest Conflict War;Israel, Libanon;0.3
3;Israel-Palestine conflict: A brief history in maps and charts;https://www.aljazeera.com/news/2023/11/27/palestine-and-israel-brief-history-maps-and-charts;27/11/2023;Mohammed Haddad, Alia Chughtai;Aljazeera;United States of Emirates;English;Explainer;Unrest Conflict War;Israel, Palestine;0.6
4;"More than a month without water, food, healthcare in Gaza amid Israel war
The United Nations says the enclave’s health, sanitation, water and food services are nearing the ‘breaking point’.";https://www.aljazeera.com/news/2023/11/7/one-month-of-no-water-food-and-healthcare-for-gaza;7/11/2023;Marium Ali, Alia Chughtai;Aljazeera;United States of Emirates;English;Explainer;Unrest Conflict War;Israel, Palestine;0.4
5;Israel-Palestine war: Why the West cant conceive of a Palestinian right to security;https://www.middleeasteye.net/opinion/israel-palestine-war-west-palestinian-right-security-conceive-why ;30/11/2023;Nadim Khoury;Middle East Eye;United Kingdom;English;Opinion;Unrest Conflict War;Israel, Palestine;0.3
6;Why has the Gaza ceasefire come to an end?;https://www.bbc.com/news/world-middle-east-67589259;2/12/2023;Oliver Slow;BBC News;United Kingdom;English;News;Unrest Conflict War;Israel, Palestine;0.8
7;Israel says ground forces operating across Gaza Strip;https://koreatimes.co.kr/www/world/2023/12/501_364393.html;4/12/2023;Reuters;The Korean Times;South Korea;English;Report;Unrest Conflict War;Israel, Palestine;0.7
8;Muslim activist shocked by world ignoring Hamas rapes of Israelis;https://www.israelhayom.com/2023/12/03/muslim-activist-shocked-by-world-ignoring-hamas-rapes-of-israelis/;3/12/2023;Dana Ben-Shimon;Hayom;Israel;English;Magazine;Religion Belief, Politics;Israel, Palestine;0.7
9;Are prisoner releases pushing West Bank Palestinians into Hamas arms?;https://www.timesofisrael.com/are-prisoner-releases-pushing-west-bank-palestinians-into-hamass-arms/;4/12/2023;Gianluca Pacchiani;Times of Israel;Israel;English;Analysis;Unrest Conflicts War, Crime Law Justice ;Israel, Palestine;0.6
10;Hamas' depravity reminds this doctor to rail against dehumanization and fight for human dignity. We must not normalize or rationalize depravity in any way.;https://www.foxnews.com/opinion/hamas-depravity-reminds-us-fight-against-dehumanization;3/12/2023;Marc Siegel;Fox News;United States of America;English;Opinion;Unrest Conflict War;Israel, Palestine;0.5
11;What we know about Israel-Hamas Gaza deal on hostages;https://www.bbc.com/news/world-middle-east-67493713;22/11/2023;David Gritten;BBC News;United Kingdom;English;News;Unrest Conflict War;Israel, Palestine;0.5
12;Israel defeating Hamas aids Arab states, even if they are afraid to admit it. UN sent $4.5 billion in aid to Gaza, but 80% of residents are poor and Hamas leaders are worth $11 billion.;https://www.foxnews.com/opinion/israel-defeating-hamas-aids-arab-states-even-they-afraid-admit;20/11/2023;Michael R. Pompeo;Fox News;United States of America;English;Opinion;Religion Belief, Politics;Israel, Palestine, United States of America;0.4
13;;https://twitter.com/m7mdkurd/status/1727129791986270527;22/11/2023;Mohammed El-Kurd;Twitter;;English;Tweet;Unrest Conflict War;Israel, Palestine;0.1
14;;https://twitter.com/m7mdkurd/status/1725243936401215743;16/11/2023;Mohammed El-Kurd;Twitter;;English;Tweet;Religion Belief, Politics;Israel, Palestine;0.3
